,,,,,,,,,,,,,,,,,,,
,Long Form Videos - Equal Duration Comparison,,,,,,,,,,,,,,,,,,
,"Comparing equal time periods before vs. after treatment date (e.g., 10 days before vs. 10 days after)",,,,,,,,,,,,,,,,,,
,Long form,Equal Durations Metrics,,,,,,,,,,,,,,,,,
,Video Title,Publish Date,Treatment Date,Extraction Date,Equal Before Impressions,Equal After Impressions,Change,Equal Before Views,Equal After Views,Change,Equal Before CTR,Equal After CTR,Change,Equal Before AWT,Equal After AWT,Change,Equal Before Retention,Equal After Retention,Change
,The Conflict of Interest They Don't Teach at Work (But Should!),23.08.2025,15.09.2025,04.11.2025,"12,859",169,"-12,690.00",136,23,-113,0.60%,7.70%,7.10%,0:03:02,0:03:14,0:00:12,51.40%,28.40%,-23.00%
,Why Smart People Write Dumb Emails,12.08.2025,15.09.2025,04.11.2025,"2,237",133,"-2,104.00",203,26,-177,2.70%,7.50%,4.80%,0:03:00,0:02:09,-0:00:51,48.90%,33.40%,-15.50%
,Why Strategy Meetings Never Work,01.08.2025,15.09.2025,04.11.2025,"2,705",496,"-2,209.00",242,12,-230,3.30%,1.60%,-1.70%,0:03:51,0:03:59,0:00:08,53.10%,41.80%,-11.30%
,6 Characters Who Ruin Every Meeting,23.07.2025,15.09.2025,04.11.2025,362,348,-14.00,28,11,-17,3.60%,2.30%,-1.30%,0:02:05,0:02:08,0:00:03,22.50%,18%,-4.50%
,Your Interview Answers Don't Matter- Here's Why,11.07.2025,15.09.2025,04.11.2025,339,319,-20.00,29,9,-20,3.80%,2.20%,-1.60%,0:03:01,0:01:00,-0:02:01,37%,N/A,N/A
,The Real Reason Nothing Gets Done at Work,24.06.2025,15.09.2025,04.11.2025,218,284,66.00,10,11,1,2.80%,3.50%,0.70%,0:01:02,0:01:20,0:00:18,N/A,N/A,N/A
,Work-Life Balance? More Like Corporate Hypocrisy,13.06.2025,15.09.2025,04.11.2025,191,295,104.00,19,16,-3,2.60%,5.10%,2.50%,0:03:36,0:03:06,-0:00:30,33.40%,19.70%,-13.70%
,How Not to Be a Humble Leader,04.06.2025,15.09.2025,04.11.2025,143,260,117.00,13,10,-3,4.20%,2.70%,-1.50%,0:02:06,0:02:47,0:00:41,30.90%,N/A,N/A
,How to Answer the Most Hated Interview Question,23.05.2025,15.09.2025,04.11.2025,277,278,1.00,39,18,-21,7.60%,5.00%,-2.60%,0:01:45,0:03:00,0:01:15,38.60%,38.60%,0.00%
,Why Do Corporate People Talk Like This?,13.05.2025,15.09.2025,04.11.2025,48,73,25.00,18,24,6,16.70%,21.90%,5.20%,0:01:33,0:02:12,0:00:39,44.50%,30.90%,-13.60%
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,Long Form Videos - Lifetime Comparison,,,,,,,,,,,,,,,,,,
,"Metrics from video publish date to treatment vs. video publish date to extraction date (Nov 4, 2025)",,,,,,,,,,,,,,,,,,
,Long form,Lifetime Durations Metrics,,,,,,,,,,,,,,,,,
,Video Title,Publish Date,Treatment Date,Extraction Date,Lifetime Before Impressions,Lifetime After Impressions,Change,Lifetime Before Views,Lifetime After Views,Change,Lifetime Before CTR,Lifetime After CTR,Change,Lifetime Before AWT,Lifetime After AWT,Change,Lifetime Before Retention,Lifetime After Retention,Change
,The Conflict of Interest They Don't Teach at Work (But Should!),23.08.2025,15.09.2025,04.11.2025,"12,891","13,833",7.31%,138,176,38.00,0.60%,0.80%,0.20%,0:03:06,0:02:49,-0:00:17,51.40%,45.40%,-6.00%
,Why Smart People Write Dumb Emails,12.08.2025,15.09.2025,04.11.2025,"2,254","2,806",24.49%,206,234,28.00,2.80%,2.60%,-0.20%,0:02:58,0:03:03,0:00:05,48.90%,47.10%,-1.80%
,Why Strategy Meetings Never Work,01.08.2025,15.09.2025,04.11.2025,"2,725","3,207",17.69%,242,254,12.00,3.20%,3.00%,-0.20%,0:03:51,0:03:51,0:00:00,53.10%,52.30%,-0.80%
,6 Characters Who Ruin Every Meeting,23.07.2025,15.09.2025,04.11.2025,"1,582","1,917",21.18%,78,89,11.00,2.30%,2.40%,0.10%,0:03:41,0:03:30,-0:00:11,36.60%,34.70%,-1.90%
,Your Interview Answers Don't Matter- Here's Why,11.07.2025,15.09.2025,04.11.2025,"1,099","1,406",27.93%,94,103,9.00,3.90%,3.60%,-0.30%,0:03:50,0:03:35,-0:00:15,43.10%,41.10%,-2.00%
,The Real Reason Nothing Gets Done at Work,24.06.2025,15.09.2025,04.11.2025,"3,056","3,331",9.00%,220,229,9.00,5.40%,5.20%,-0.20%,0:02:07,0:02:06,-0:00:01,31.60%,32.10%,0.50%
,Work-Life Balance? More Like Corporate Hypocrisy,13.06.2025,15.09.2025,04.11.2025,"2,767","3,050",10.23%,247,261,14.00,5.50%,5.40%,-0.10%,0:03:49,0:03:48,-0:00:01,48%,47.10%,-0.90%
